               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.021422,            0.006136,            0.005273,              0.8144,             0.86164,             0.86191,             0.67983,            0.016777,           0.0043167,            0.004954,            0.005875,            0.005875,            0.005875
                 127,            0.021305,           0.0060799,           0.0058222,             0.80458,             0.86178,             0.85692,             0.67317,            0.016477,           0.0043476,           0.0047287,            0.005842,            0.005842,            0.005842
                 128,            0.021159,           0.0061348,           0.0060557,             0.82897,             0.85667,             0.86056,             0.68253,            0.016494,           0.0043564,           0.0051171,            0.005809,            0.005809,            0.005809
                 129,            0.020863,           0.0061132,           0.0056464,             0.81109,             0.86239,             0.85584,             0.68013,            0.016659,           0.0043167,           0.0049336,            0.005776,            0.005776,            0.005776
                 130,            0.020935,           0.0061483,            0.005461,             0.81291,             0.86023,             0.86078,             0.68058,            0.016381,           0.0043294,           0.0048951,            0.005743,            0.005743,            0.005743
                 131,            0.021081,           0.0060301,           0.0060381,             0.81177,             0.85944,             0.85294,             0.68023,            0.016602,           0.0043799,           0.0047899,             0.00571,             0.00571,             0.00571
                 132,            0.021018,           0.0063039,           0.0054139,             0.78947,             0.85682,             0.85424,             0.67759,            0.016651,           0.0043559,           0.0050694,            0.005677,            0.005677,            0.005677
                 133,             0.02088,            0.006136,           0.0056248,             0.81069,              0.8709,             0.85946,              0.6743,            0.016501,           0.0043555,           0.0050086,            0.005644,            0.005644,            0.005644
                 134,            0.020951,           0.0060846,            0.005331,             0.80167,             0.86487,             0.85668,             0.68174,            0.016458,           0.0043355,           0.0050239,            0.005611,            0.005611,            0.005611
                 135,            0.021106,           0.0059975,           0.0055811,             0.79947,             0.85856,             0.84941,             0.65067,            0.016661,           0.0043868,            0.005069,            0.005578,            0.005578,            0.005578
                 136,            0.021021,           0.0061417,           0.0051721,             0.80917,             0.85735,              0.8592,             0.68334,            0.016288,           0.0043949,           0.0047873,            0.005545,            0.005545,            0.005545
                 137,            0.020752,           0.0062341,           0.0050879,             0.81937,             0.86392,             0.84772,             0.67112,            0.016416,           0.0043661,           0.0050369,            0.005512,            0.005512,            0.005512
                 138,            0.020738,           0.0057901,           0.0054234,             0.83614,             0.83651,             0.86177,             0.67784,             0.01649,           0.0043584,           0.0048154,            0.005479,            0.005479,            0.005479
                 139,            0.020574,           0.0060605,           0.0055529,             0.81393,             0.87053,             0.85444,             0.67033,            0.016257,            0.004344,             0.00461,            0.005446,            0.005446,            0.005446
                 140,            0.020666,           0.0060073,           0.0058507,             0.78968,             0.88779,              0.8592,             0.67739,            0.016286,           0.0043328,           0.0045558,            0.005413,            0.005413,            0.005413
                 141,            0.020634,           0.0057678,           0.0054384,             0.79872,             0.88855,             0.86939,             0.69352,            0.016351,            0.004367,           0.0044704,             0.00538,             0.00538,             0.00538
                 142,            0.020356,           0.0058458,           0.0051143,              0.8626,             0.82209,             0.86871,             0.68983,            0.016425,           0.0043504,           0.0046471,            0.005347,            0.005347,            0.005347
                 143,            0.020598,           0.0059112,           0.0051512,             0.83522,             0.85747,             0.85599,             0.68351,            0.016236,            0.004348,           0.0043476,            0.005314,            0.005314,            0.005314
                 144,            0.020454,           0.0059817,           0.0054587,             0.84245,             0.84182,             0.86847,             0.68983,            0.016268,           0.0043547,           0.0045124,            0.005281,            0.005281,            0.005281
                 145,             0.02032,           0.0059897,           0.0050861,             0.85461,             0.83268,              0.8583,             0.69083,            0.015907,           0.0043617,           0.0044641,            0.005248,            0.005248,            0.005248
                 146,            0.020418,           0.0060546,           0.0055069,             0.84731,             0.84294,             0.86244,              0.6897,            0.015852,           0.0043288,           0.0045178,            0.005215,            0.005215,            0.005215
                 147,            0.020076,           0.0060306,           0.0047237,             0.80545,             0.87054,             0.85627,             0.68202,            0.015779,           0.0042561,           0.0043697,            0.005182,            0.005182,            0.005182
                 148,            0.019703,           0.0058282,           0.0053777,             0.81637,             0.86435,             0.85588,             0.68386,            0.015838,           0.0043067,           0.0045075,            0.005149,            0.005149,            0.005149
                 149,            0.020118,            0.005935,           0.0052346,             0.80583,               0.874,             0.85628,             0.68223,            0.015869,           0.0043004,           0.0045113,            0.005116,            0.005116,            0.005116
                 150,            0.020298,           0.0058126,           0.0047402,             0.84462,             0.84149,             0.85617,             0.68689,             0.01601,           0.0043686,           0.0043235,            0.005083,            0.005083,            0.005083
                 151,            0.019803,           0.0058199,           0.0046529,             0.81222,             0.87097,             0.85039,              0.6806,            0.015665,           0.0043681,           0.0041807,             0.00505,             0.00505,             0.00505
                 152,            0.020204,           0.0057363,           0.0049968,             0.82923,             0.86469,             0.85123,             0.68993,            0.015766,           0.0043861,           0.0041815,            0.005017,            0.005017,            0.005017
                 153,            0.019361,           0.0058941,           0.0045957,             0.82934,             0.87708,             0.86553,              0.7023,             0.01575,           0.0044499,           0.0042355,            0.004984,            0.004984,            0.004984
                 154,            0.019482,           0.0056342,           0.0044267,             0.81647,             0.86854,             0.85537,             0.68906,            0.015953,             0.00444,           0.0042563,            0.004951,            0.004951,            0.004951
                 155,            0.019657,           0.0059448,           0.0050417,             0.81267,             0.87896,             0.85121,             0.68174,            0.015952,           0.0044306,           0.0040975,            0.004918,            0.004918,            0.004918
